ID,category_big,category_medium,area,1 tsagiin tsalin 10'000 aas deesh,huwtsaslalt chuluutei,lucn baigaa,tsalin daily/weekly,suragch ajillaj bolno,bogino hugatsaagaar ajillaj bolno,7 honogt 3aas deesh ajilna,honogt 4uus deesh tsag ajilna,office iin ajil,daatgal tuldug,fashion,health/beauty,education,food,marketing/customer service,event,IT/creative,barilga,jolooch/hurgelt,ugaalga/tsewerlegee
11327,飲食・フード,居酒屋,Tokyo,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11330,飲食・フード,居酒屋,Kanagawa,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11333,飲食・フード,居酒屋,Aichi,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11338,飲食・フード,居酒屋,Tokyo,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11341,飲食・フード,居酒屋,Kanagawa,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11342,飲食・フード,居酒屋,Oosaka,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11345,飲食・フード,居酒屋,Tokyo,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11348,飲食・フード,居酒屋,Kanagawa,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11349,飲食・フード,居酒屋,Aichi,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11351,飲食・フード,居酒屋,Kanagawa,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11352,飲食・フード,居酒屋,Oosaka,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11353,飲食・フード,居酒屋,Kanagawa,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11356,飲食・フード,居酒屋,Saitama,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11358,飲食・フード,居酒屋,Chiba,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11359,飲食・フード,居酒屋,Kanagawa,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11361,飲食・フード,居酒屋,Kanagawa,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11363,飲食・フード,居酒屋,Tokyo,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11365,飲食・フード,居酒屋,Oosaka,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11368,飲食・フード,居酒屋,Tokyo,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11370,飲食・フード,居酒屋,Tokyo,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
